pr_number,merged_at,author,title
31921,2025-01-02T19:34:10Z,sebmarkbage,[Fiber] Gate Update flag on BeforeMutationMask on flags
31876,2025-01-02T18:28:24Z,sebmarkbage,[Fiber] Mark error boundaries and commit phases when an error is thrown
31866,2025-01-02T18:04:09Z,sebmarkbage,[Fiber] Mark cascading updates
31828,2025-01-02T18:02:22Z,sebmarkbage,[Fiber] Yield every other frame for Transition/Retry work
31919,2025-01-02T16:24:27Z,poteto,[compiler] Update rollup plugins
31893,2025-01-02T14:07:21Z,hoxyq,DevTools: fork FastRefresh test for <18 versions of React
31799,2024-12-31T18:13:43Z,sebmarkbage,[Flight Parcel] Implement prepareDestinationForModule
31904,2024-12-29T15:36:21Z,hoxyq,DevTools: fix Compiler inegration test with 18.2
31879,2024-12-28T07:02:16Z,sebmarkbage,[Flight] Mark Errored Server Components
31877,2024-12-28T07:01:49Z,sebmarkbage,Add Profiler mode to fixtures even if React DevTools is not installed
31915,2024-12-27T19:27:43Z,poteto,[rcr] Relax react peer dep requirement
31920,2024-12-26T19:58:37Z,poteto,[compiler] Fix broken fire snapshot
31894,2024-12-23T23:11:05Z,rickhanlonii,[assert helpers] Remove toWarnDev from fixtures/dom
31853,2024-12-23T19:58:20Z,rickhanlonii,[asserts helpers] react package
31881,2024-12-20T22:44:43Z,gnoff,(cherrypick) [Fizz][Float] Do not write after closing the stream (#27541)
31811,2024-12-20T22:16:59Z,jbrown215,[compiler] Rewrite effect dep arrays that use fire
31798,2024-12-20T21:55:01Z,jbrown215,"[compile] Error on fire outside of effects and ensure correct compilation, correct import"
31797,2024-12-20T20:25:30Z,jbrown215,[compiler] add fire imports
31796,2024-12-20T20:09:09Z,jbrown215,[compiler] transform fire calls
31860,2024-12-20T17:41:30Z,rickhanlonii,[assert helpers] ReactFlight
31862,2024-12-20T17:41:13Z,rickhanlonii,[assert helpers] not dom or reconciler
31872,2024-12-20T17:01:12Z,gnoff,(cherrypick) [Flight Reply] Reject any new Chunks not yet discovered at the time of reportGlobalError (#31840)
31871,2024-12-20T16:56:48Z,josephsavona,[compiler] Allow type cast expressions with refs
31857,2024-12-19T19:43:01Z,eps1lon,Turn off `enableYieldingBeforePassive`
31844,2024-12-19T18:05:23Z,rickhanlonii,[assert helpers] ReactChildren-test
31861,2024-12-19T18:03:11Z,poteto,[ci] getWorkflowRun should not throw early if workflow hasn't completed
31859,2024-12-19T16:49:14Z,jackpope,Fork Scheduler feature flags for native-fb
31850,2024-12-19T15:18:06Z,acdlite,Update runtime workflow to use HEAD commit
31851,2024-12-19T05:03:40Z,sebmarkbage,[Flight] Reject any new Chunks not yet discovered at the time of reportGlobalError
31829,2024-12-19T04:53:54Z,sebmarkbage,[Fiber] Mark hydrated components in tertiary color (green)
